tiddlets_part3_martinez_b4 | Надеюсь, для вас это того стоило, Капитан.
tiddlets_part3_martinez_b5 | Корабль выставлен на продажу.  Я больше не могу находиться на борту.  Цена $1M.  Но, полагаю, вы помогали в создании Скачкового Двигателя, так что я отдам его вам за $800k.
tiddlets_part3_martinez_c1 | Зачем вы здесь?
tiddlets_part3_martinez_c2 | Десять лет я работал над его спасением.  Десять лет.
tiddlets_part3_martinez_c3 | Знаете ли вы, каково это - умирать от радиационного отравления?  Нет?  Я знаю.  С момента вашей попытки спасения я наблюдал это.  Волосы выпадают, органы отказывают, тело разрушаютcя.  Рвота.  Болезнь и кровь.  Дни напролет.
tiddlets_part3_martinez_c4 | Они даже не позволяли мне быть рядом с ним.
tiddlets_part3_martinez_c5 | Вы сделали это с ним, Капитан.
tiddlets_part3_martinez_c6 | Я не хочу разговаривать с вами, Капитан.  Да, корабль на продаже.  Возьмите его.  Я больше никогда не хочу видеть этот корабль или вас.  Не звоните мне снова.
tiddlets_part3_martinez_call | Связаться с Доктором Мартинесом
tiddlets_part3_martinez_callagain | Снова связаться с Доктором Мартинесом
tiddlets_part3_martinez_purchase | Купить корабль за *X
tiddlets_part3_morehops | Отлично.  Это работает, как я и думал.  Дайте нам еще три прыжка, Капитан.
tiddlets_part3_objective_activate | Активировать Скачковый Двигатель
tiddlets_part3_objective_artemis1 | ОПЦИОНАЛЬНО: Отведите Тиддлетов к Профессору Топпингбери вместо этого
tiddlets_part3_objective_batteryfarm | Массово вырастить 500 Тиддлетов
tiddlets_part3_objective_blackhole | Отправиться к Черной Дыре S*X
tiddlets_part3_objective_broken1 | Демонтировать Скачковый Двигатель
tiddlets_part3_objective_broken2 | Доставить Скачковый Двигатель
tiddlets_part3_objective_broken3 | Получить Гипердвигатель
tiddlets_part3_objective_broken4 | Установить Гипердвигатель
tiddlets_part3_objective_farmcount | *X Тиддлетов на корабле-ферме
tiddlets_part3_objective_flyclose | Подлететь на L*X близко к кораблю-ферме Тиддлетов
tiddlets_part3_objective_freetiddlets1 | Пилотировать корабль-ферму к астероиду
tiddlets_part3_objective_freetiddlets2 | Открыть Двери Стыковочного Отсека
tiddlets_part3_objective_hops | Выполнить больше гиперпространственных скачков [*X/3]
tiddlets_part3_objective_institute | Доставить корабль в Институт
tiddlets_part3_objective_martinez | Купить корабль Доктора Мартинеса
tiddlets_part3_objective_swanson1 | Совершить прыжки Гипердвигателем на дальнюю дистанцию
tiddlets_part3_objective_swanson2 | Доставить тела Тиддлетов Доктору Свонсону
tiddlets_part3_objective_visitinstitute | Отправиться в Институт Межзвездных Форм Жизни
tiddlets_part3_setup1 | Работа продолжается, Капитан. В этих Тиддлетах гораздо больше, чем мы осознавали.
tiddlets_part3_setup10 | Итак, к делу.  Есть ученый по имени Доктор Джулиан Мартинес в близлежащей системе. Он недавно получил момент славы после дерзкого спасения своего брата.  У него есть корабль на продажу, который, как мы полагаем, будет полезен.
tiddlets_part3_setup11 | Отправляйтесь к благородному Доктору и купите его корабль. Он просит миллион кредитов, что смешно.  Он думает, что его изобретение столько стоит.  Проведите с ним переговоры, сбейте цену, и я переведу средства напрямую ему.  Если вам удастся снизить цену, я заплачу вам 20% от сэкономленной суммы в качестве бонуса.
tiddlets_part3_setup2 | К сожалению, Профессор Топпингбери был вынужден взять отпуск.  От стресса его работы, вы понимаете.
tiddlets_part3_setup3 | Теперь мы знаем, как они размножаются, и мы знаем их пределы. Во время гиперпространственного путешествия 3 из них будут телепатически размножаться.
tiddlets_part3_setup4 | Мы еще не совсем уверены, сколько времени требуется их детям, чтобы вырасти. Однако мы заметили, что они совершают скачок точно в то же время, что и их родители.
tiddlets_part3_setup5 | Это не важно, но я подумал, что вам может показаться это забавным.
tiddlets_part3_setup6 | Как вы уже видели, они испытывают гиперпространственный шок, если находятся в гиперпространственном путешествии слишком долго.
tiddlets_part3_setup7 | Но ключ находится в финальной стадии их жизненного цикла.  Мы знаем, что если мы подвергаем их гиперпространственному шоку, их телепатические энергии настолько сильны, что в их последние мгновения образуется маленький кристалл.
tiddlets_part3_setup8 | Мы изучали кристаллы, которые мы восстановили до сих пор.  Они резонируют в подпространстве так, как мы никогда раньше не видели.  Некоторые из кристаллов связаны на квантовом уровне и резонируют вместе.  Примените сигнал к одному, и другой отвечает мгновенно, на любом расстоянии.
tiddlets_part3_setup9 | Существует так много потенциальных применений.
tiddlets_part3_swanson_a1 | Невероятная работа, Капитан. Я не уверен, как вам это удалось, но я верен своему слову.  Я переведу средства Доктору Мартинесу и выплачу вам бонус за продажу в $100k.  Верните корабль в Институт, и давайте используем его.
tiddlets_part3_swanson_b1 | Хорошая работа, Капитан. Это хорошая цена.  Я отправлю средства Доктору Мартинесу.  Вы заработали бонус за продажу в $40k.  Верните корабль в Институт, и давайте используем его.
tiddlets_part3_swanson_c1 | Очень разочаровывающе, Капитан.  Вам нужно работать лучше, если вы хотите преуспеть здесь.  Этот корабль обходится нам в целое состояние.
tiddlets_part3_swanson_c2 | Я отправлю средства Доктору Мартинесу сейчас.  Верните корабль в Институт, и мы сможем начать работу.
tiddlets_part3_swanson_debriefa1 | Отлично, Капитан.  Все сработало именно так, как я предсказывал, и теперь у нас есть отличный урожай на корабле-ферме.  Что более важно, вы показали путь.
tiddlets_part3_swanson_debriefa2 | Думаю, я могу взять дело в свои руки отсюда, Капитан.  Мои инженеры говорят мне, что они установят Скачковый Двигатель на корабль-ферму всего за несколько дней.  На самом деле, мы близки к автоматизации всего процесса сбора Тиддлетов с помощью этого одного корабля.
tiddlets_part3_swanson_debriefa3 | Я знал, что можем положиться на вас, Капитан.  Спасибо за проявление высочайшего профессионализма.
tiddlets_part3_swanson_debriefa4 | Что касается спасательного корабля, он нам больше не нужен.  Нам был нужен Скачковый Двигатель.  Вы можете оставить его себе, если хотите, или продать.
tiddlets_part3_swanson_debriefa5 | Я свяжусь с вами, если ваши услуги потребуются в будущем.
tiddlets_part3_swanson_debriefb1 | Капитан, мы потеряли связь с нашим кораблем на секунду.  Где вы?  Похоже, вы полностью сбились с курса.
tiddlets_part3_swanson_debriefb2 | Боже мой.  Что вы натворили?
tiddlets_part3_swanson_debriefb3 | Где они?  Где мои Тиддлеты??
tiddlets_part3_swanson_debriefb4 | Запомните мои слова, Капитан.  Вы горько пожалеете, что переступили через меня.
tiddlets_part3_swanson_debriefb5 | Крупная Кража, Порча Имущества, Мошенничество, Саботаж.  Я позабочусь о том, чтобы вы провели следующее десятилетие в космической тюрьме за это.  Вы и тот Профессор.
tiddlets_part3_swanson_finalobjective1 | Вот оно, Капитан. Мы стоим на пороге огромного достижения.  Можете ли вы представить, сколько кристаллов мы можем произвести всего за один прыжок?  Могут быть сотни.  Исследовательские возможности ошеломляют.
tiddlets_part3_swanson_finalobjective2 | Вы знаете, что делать, Капитан.  Пары очень длинных прыжков должно быть достаточно.  Верните их всех ко мне, когда закончите.
tiddlets_part3_swanson_random1 | Да!
tiddlets_part3_swanson_random2 | Больше!
tiddlets_part3_swanson_random3 | Продолжайте!
tiddlets_part3_swanson_random4 | Еще раз!
tiddlets_part3_swanson_return1 | Наш план прост, Капитан.  Мы обнаружили во время вашей отличной полевой работы, что Тиддлеты размножаются даже при невероятно коротком прыжке Гипердвигателем.
tiddlets_part3_swanson_return2 | Корабль, который вы только что купили, имеет специально модифицированный Скачковый Двигатель.  Мы можем использовать его для совершения очень коротких прыжков и запуска гиперпространственного процесса размножения среди Тиддлетов.
tiddlets_part3_swanson_return3 | Мы хотим, чтобы вы соединили корабль со Скачковым Двигателем с нашим кораблем Ферма Тиддлетов и активировали Скачковый Двигатель ближнего действия.  Вам даже не нужно будет покидать систему.  Если наши расчеты верны, мы должны увидеть мгновенный результат.
tiddlets_part3_title | Проблемы с Тиддлетами, Часть 3
tiddlets_part4_advert | Это Доктор Свонсон из Института Межзвездных Форм Жизни. Я объявляю чрезвычайную ситуацию. Нам нужна срочная помощь. Наш корабль скомпрометирован. Пожалуйста, любому кораблю поблизости, нам нужно экстренное спасение. На кону много жизней.
tiddlets_part4_award_caption | Освобождение Тиддлетов
tiddlets_part4_crewsaved | *X ученых спасено
tiddlets_part4_debrief_artemis_a1 | Я хочу поблагодарить вас за помощь, Капитан, когда это было важно. За то, что сделали правильный выбор. Я разделю с вами оставшиеся деньги гранта. Вы это заслужили.
tiddlets_part4_debrief_artemis_a2 | Последнее.  Я не мог не заметить, что вы подобрали пару Тиддлетов вместе с учеными, которых вы спасли. Я бы не беспокоился - два - это очень безопасное число.
tiddlets_part4_debrief_artemis_a3 | Но я бы рекомендовал никогда не брать третьего на борт.  Позаботьтесь о них, Капитан. Я знаю, что вы будете.
tiddlets_part4_debrief_artemis_b1 | Я думал, что Доктор Свонсон был моим союзником. И я думал, что могу доверять вам. Но вы оба поставили деньги превыше всего остального. Я не знаю, как вы можете так жить.
tiddlets_part4_debrief_artemis_b2 | У вас есть последний шанс все исправить. Похоже, пара Тиддлетов оказалась на борту вместе с учеными, которых вы спасли. Два, вероятно, безопасно, но никогда не берите третьего на борт.
tiddlets_part4_debrief_artemis_b3 | Я предлагаю вам заботиться о них с этого момента, Капитан. Это не искупит то, что вы сделали, но это начало.
tiddlets_part4_debrief_artemis1 | Я пытался остановить его. Пытался предупредить его.
tiddlets_part4_debrief_artemis2 | Капитан, эти недавние события заставили меня пересмотреть мою роль во всем этом. Эти существа нуждаются в нашей защите. Им нужен кто-то, кто будет заботиться о них.
tiddlets_part4_debrief_swanson1 | Слава богу.
tiddlets_part4_debrief_swanson2 | Похоже, Скачковый Двигатель израсходовал все прыжковые заряды. Все кончено.
tiddlets_part4_objective_rescue | Спасти экипаж корабля-фермы
tiddlets_part4_objective_respond | Ответить на Сигнал Бедствия Свонсона
tiddlets_part4_random_swanson1 | О боже... они в продуктовых запасах!
tiddlets_part4_random_swanson2 | О боже... они в системе кондиционирования!
tiddlets_part4_random_swanson3 | О боже... они в реакторной комнате!
tiddlets_part4_random_tiddlet | фтфтффтфтфтфт
tiddlets_part4_rescue_swanson1 | Капитан, я не знаю, что произошло. Это Скачковый Двигатель. Мои инженеры сказали мне, что полностью проверили его!
tiddlets_part4_rescue_swanson2 | С ним что-то не так. Мы не можем прекратить прыжки. Они размножились... так много раз. Они ПОВСЮДУ!
tiddlets_part4_rescue_swanson3 | О боже. Их так много! Они в двигателях... в системе жизнеобеспечения... они почти в реак-
tiddlets_part4_rescue_swanson4 | Отойдите от этой консоли! Брысь!
tiddlets_part4_rescue_swanson5 | Вы должны помочь нам, Капитан.
tiddlets_part4_rescue_tiddlet1 | мммиииффффффффф
tiddlets_part4_rescue_tiddlet2 | скуиииииии
tiddlets_part4_title | Проблемы с Тиддлетами, Часть 4
tiddlets_shipname_artemis | Artemis Toppingbury
tiddlets_summary | Помочь Профессору Артемису Топпингбери с его исследованиями.
tiddlets3_summary | Помочь Институту с их экспериментами
toolsmenu_close | Закрыть
toolsmenu_dialogeditor | Редактор Диалогов
toolsmenu_spriteeditor | Редактор Спрайтов
toolsmenu_title | Меню Инструментов
trade_afford | ДОСТУПНО
trade_all | ВСЕ
trade_allitems | ВСЕ ПРЕДМЕТЫ
trade_autobuyat | ПОКУПАТЬ НИЖЕ
trade_automatic | АВТОТОРГОВЛЯ
trade_autosellat | ПРОДАВАТЬ ВЫШЕ
trade_autotrade | АВТОТОРГОВЛЯ
trade_autotradecancelled | ПОСЛЕДНИЙ ЗАКАЗ ОТМЕНЕН
trade_autotradedisabled | ОТКЛЮЧЕНО В МЕНЮ ЗАКАЗОВ
trade_boxed | Упаковано
trade_buy | КУПИТЬ
trade_buying | Покупка *X
trade_cancelautotrade | ОТМЕНИТЬ АВТОТОРГОВЛЮ
trade_cannot | НЕВОЗМОЖНО
trade_cannot_afford | НЕ ХВАТАЕТ СРЕДСТВ
trade_cash | Средства
trade_category_equipment | Оборудование
trade_category_reagent | Реагент
trade_category_resource | Ресурс
trade_component | Компонент
trade_confirm | ПОДТВЕРДИТЬ
trade_cost | Стоимость
trade_dangercivilians | Гражданские предлагают большие суммы, чем обычно, за безопасный транзит из сектора
trade_dangerdeflation | Цены на оборудование и экипаж ниже обычных из-за паники
trade_dangerproximity | Нехватка критических ресурсов привела к росту цен выше обычного
trade_enabled | ВКЛЮЧЕНО
trade_equipment_charge | - Заряд (на использование) : *X МВт
trade_equipment_powered | - С питанием
trade_equipment_rotatable | - Вращается
trade_equipment_size | - Размер *X x *Y
trade_estimatedvalue | РАСЧЕТНОЕ ЗНАЧЕНИЕ:
trade_neworder | НОВЫЙ ЗАКАЗ
trade_nextcollection | СЛЕДУЮЩИЙ ЧЕЛНОК ЧЕРЕЗ *Xс
trade_ourstock | У вас на борту *X
trade_overlay_boxed | [упаковано]
trade_overlay_price | ЦЕНА
trade_overlay_them | ОНИ
trade_overlay_you | ВЫ
trade_profit | Прибыль
trade_remove | УБРАТЬ
trade_sack | УВОЛИТЬ
trade_sacking | Увольнение *X
trade_sell | ПРОДАТЬ
trade_sell_ship | ПРОДАТЬ КОРАБЛЬ
trade_selling | Продажа *X
trade_showoutofstock | Показать Отсутствующие
trade_shuttleinbound | ЧЕЛНОК В ПУТИ
trade_stack | Стопка *X
trade_title | ТОРГОВЛЯ
trade_tooltip_add | [ЛКМ] Добавить
trade_tooltip_buy | [ЛКМ] Купить
trade_tooltip_cancel | [ПКМ] Отменить
trade_tooltip_cancelalltrade | [ПКМ] Отменить Все
trade_tooltip_canceltrade | [ЛКМ] Отменить
trade_tooltip_clear | [ПКМ] Очистить
trade_tooltip_control | [CTRL] Все
trade_tooltip_disableorder | [CTRL + ПКМ] Отключить
trade_tooltip_remove | [ПКМ] Убрать
trade_tooltip_remove_rmb | [ПКМ] Убрать
trade_tooltip_reset | [ПКМ] Сбросить
trade_tooltip_sack | [ЛКМ] Уволить
trade_tooltip_sell | [ЛКМ] Продать
trade_tooltip_shift | [SHIFT] x5
trade_transaction | *X: *Y
trade_waitingfor | Ожидание *X x *Y
trade_window_Components | Компоненты
trade_window_Crew | Экипаж
trade_window_Defense | Оборона
trade_window_Energy | Энергия
trade_window_Habitation | Выживание
trade_window_Industry | Производство
trade_window_Logistics | Логистика
trade_window_Propulsion | Движение
trade_window_Resources | Ресурсы
trade_window_Science | Наука
translationeditor_english_tooltip1 | Неформатированная английская фраза
translationeditor_english_tooltip2 | Форматированная английская фраза
translationeditor_english_tooltip3 | Это то, что вы переводите.
translationeditor_english_tooltip4 | Вы не можете изменить английские фразы.
translationeditor_folder | Открыть Папку
translationeditor_folder_tooltip | Открывает папку, в которой сохранены ваши измененные переводы.\n\n"language.csv" - это файл, содержащий ваши измененные переводы.
translationeditor_modified | Измененные Фразы
translationeditor_new_tooltip1 | Неформатированный новый перевод
translationeditor_new_tooltip2 | Форматированный новый перевод
translationeditor_new_tooltip3 | Здесь вы можете изменить перевод.\n\nЭто повлияет только на вашу игру, если вы не отправите обновленные переводы в Introversion.
translationeditor_original_tooltip1 | Неформатированный оригинальный перевод
translationeditor_original_tooltip2 | Форматированный оригинальный перевод
translationeditor_original_tooltip3 | Это то, что в настоящее время используется в игре.
translationeditor_reset | Вернуть
translationeditor_reset_tooltip | Сбрасывает ваш измененный перевод обратно к оригинальному переводу.
translationeditor_unmodified | Неизмененные Фразы
tutorial_air_title | КИСЛОРОД
tutorial_aircables | <b>ВОЗДУХОВОД</b> должен быть запитан от <b>РЕАКТОРА</b>.  Выберите <b>КАБЕЛИ</b> из меню <b>СТРОИТЕЛЬСТВО</b>.
