bravenewsector_part1_representative2 | Поскольку вы использовали наши Звездные Врата, чтобы достичь нового сектора, мы считаем справедливым, чтобы вы помогли нам с исследованием применения новых ресурсов.
bravenewsector_part1_representative3 | Ваше сотрудничество было первостепенным для успеха проекта до сих пор, и оно должно продолжаться до завершения проекта.
bravenewsector_part1_representative4 | Спасибо, Капитан. Мы свяжемся с вами, когда вы завершите свои исследования.
bravenewsector_part1_representative5 | Снова здравствуйте, Капитан.
bravenewsector_part1_representative6 | Результаты ваших исследований очень многообещающие, и мы хотели бы, чтобы вы отправили нам несколько обработанных образцов новых ресурсов.
bravenewsector_part1_representative7 | Мы ожидаем поставку Нейбидиумных слитков и стабилизированного Газа Зелеона.
bravenewsector_part1_representative8 | Спасибо за ваше сотрудничество, Капитан.
bravenewsector_part1_researchneubidium | Исследуйте Обработку Нейбидиума
bravenewsector_part1_researchzeleon | Исследуйте Газ Зелеона
bravenewsector_part1_title | Дивный Новый Сектор, Часть 1
bravenewsector_part1_x1 | Капитан? Вы на месте?
bravenewsector_part1_x2 | Не могу в это поверить, Звездные Врата сработали! Это мой величайший проект, мое величайшее достижение, возможно, и последнее тоже. Может быть, у меня когда-нибудь будет шанс самому увидеть новый сектор.
bravenewsector_part1_x3 | Однако я полагаю, что это только начало, Проект Андромеда ясно дал понять, что хочет достичь новой галактики, а не просто нового сектора. Я уверен, что они скоро свяжутся насчет следующих шагов Звездных Врат.
bravenewsector_part1_x4 | Спасибо, Капитан, за всю вашу тяжелую работу. До свидания.
bravenewsector_part2_harken_1 | Капитан, наше сканирование сектора обнаружило новые системы. Они содержат верфи, которые в настоящее время управляются пиратами.
bravenewsector_part2_harken_10 | Это все от меня, Капитан, удачи.
bravenewsector_part2_harken_2 | Их износ корпуса позволяет нам полагать, что они находятся здесь как минимум столетие. Этот сектор, должно быть, был одной из первых попыток человечества колонизировать космос.
bravenewsector_part2_harken_3 | В этом секторе есть признаки массовой галактической войны, сигналы заброшенных кораблей появляются по всей нашей карте сектора.
bravenewsector_part2_harken_4 | Последствия войны привели к тому, что пираты получили контроль над сектором для себя. С тех пор они живут здесь, в спящем режиме, выживая за счет ресурсов, добываемых в местных поясах астероидов и туманностях.
bravenewsector_part2_harken_6 | Уничтожение крепостей позволит нам создать дружественные верфи и вернуть контроль над сектором у пиратов.
bravenewsector_part2_harken_7 | Будьте готовы встретить серьезное сопротивление, если решите посетить их. Я добавил их позиции на вашу карту сектора.
bravenewsector_part2_harken_8 | Челнок уже в пути к L*X с исследовательским оборудованием на борту. Он позволит вам сканировать область вокруг вашего корабля.
bravenewsector_part2_harken_9 | Забытые поля сражений сектора могут содержать новые исследовательские возможности, я бы рекомендовал вам исследовать любые заброшенные корабли, которые вы обнаружите.
bravenewsector_part2_receivecompute | Получите Суперкомпьютер
bravenewsector_part2_receivesensors | Получите Гиперпространственные Сенсоры LR [*X/*Y]
bravenewsector_part2_summary | Раскройте историю нового сектора.
bravenewsector_part2_surveywarning | Челнок уже в пути к L*X с исследовательским оборудованием на борту. Оборудование можно использовать только в новом секторе, поэтому вам нужно будет отправить корабль через Звездные Врата, чтобы начать исследование.
bravenewsector_part2_title | Дивный Новый Сектор, Часть 2
