dialog_add | Add | 
dialog_cancel | Cancel | 
dialog_close | Close | 
dialog_closed | Closed | 
dialog_delete | Delete | 
dialog_down | Down | 
dialog_exit | Exit | 
dialog_h | H | 
dialog_height | Height | 
dialog_high | High | 
dialog_load | Load | 
dialog_loading | Loading... | 
dialog_low | Low | 
dialog_medium | Medium | 
dialog_name | Name | 
dialog_new | New | 
dialog_no | No | 
dialog_none | None | 
dialog_ok | Ok | 
dialog_open | Open | 
dialog_save | Save | 
dialog_saveas | Save As | 
dialog_type | Type | 
dialog_up | Up | 
dialog_w | W | 
dialog_width | Width | 
dialog_x | X | 
dialog_y | Y | 
dialog_yes | Yes | 
dialog_z | Z | 
