steamworkshopmenu_close | Close | 
steamworkshopmenu_loadselectedsavegame | Load | 
steamworkshopmenu_loadselectedship | Load | 
steamworkshopmenu_publishedsavegamelistlabel | Published Save Games | 
steamworkshopmenu_publishedshiplistlabel | Published Ships | 
steamworkshopmenu_refreshpublishedsavegamelist | Refresh List | 
steamworkshopmenu_refreshpublishedshiplist | Refresh List | 
steamworkshopmenu_refreshsubscribedsavegamelist | Refresh List | 
steamworkshopmenu_refreshsubscribedshiplist | Refresh List | 
steamworkshopmenu_savegamelegalagreementbutton | workshop terms of service | 
steamworkshopmenu_savegamelegalagreementtext | By submitting this item, you agree to the | 
steamworkshopmenu_savegamesectionlabel |  ========================== Save Games ========================== | 
steamworkshopmenu_shiplegalagreementbutton | workshop terms of service | 
steamworkshopmenu_shiplegalagreementtext | By submitting this item, you agree to the | 
steamworkshopmenu_shipsectionlabel |  =============================== Ships =============================== | 
steamworkshopmenu_subscribedsavegamelistlabel | Subscribed Save Games | 
steamworkshopmenu_subscribedshiplistlabel | Subscribed Ships | 
steamworkshopmenu_title | Steam Workshop Menu | 
steamworkshopmenu_updateselectedsavegame | Update Selected | 
steamworkshopmenu_updateselectedship | Update Selected | 
steamworkshopmenu_uploadsavegame | Upload | 
steamworkshopmenu_uploadsavegamedesclabel | Description | 
steamworkshopmenu_uploadsavegameprogress |  = | 
steamworkshopmenu_uploadsavegametitlelabel | Title | 
steamworkshopmenu_uploadship | Upload | 
steamworkshopmenu_uploadshipdesclabel | Description | 
steamworkshopmenu_uploadshipprogress |  = | 
steamworkshopmenu_uploadshiptitlelabel | Title | 
