trade_afford | AFFORD | 
trade_all | ALL | 
trade_allitems | ALL ITEMS | 
trade_autobuyat | BUY BELOW | 
trade_automatic | AUTO TRADE | 
trade_autosellat | SELL ABOVE | 
trade_autotrade | AUTO-TRADE | 
trade_autotradecancelled | LAST ORDER CANCELLED | 
trade_autotradedisabled | DISABLED IN ORDER MENU | 
trade_boxed | Boxed | 
trade_buy | BUY | 
trade_buying | Buying *X | 
trade_cancelautotrade | CANCEL AUTO-TRADE | 
trade_cannot | CANNOT | 
trade_cannot_afford | CANNOT AFFORD | 
trade_cash | Cash | 
trade_category_equipment | Equipment | 
trade_category_reagent | Reagent | 
trade_category_resource | Resource | 
trade_component | Component | 
trade_confirm | CONFIRM | 
trade_cost | Cost | 
trade_dangercivilians | Civilians are offering larger sums than normal for safe transit out of the sector | 
trade_dangerdeflation | Prices for hardware and crew are lower than normal, due to panic | 
trade_dangerproximity | Shortages of critical resources have made prices higher than normal | 
trade_enabled | ENABLED | 
trade_equipment_charge | - Charge (per use) : *X MW | 
trade_equipment_powered | - Powered | 
trade_equipment_rotatable | - Rotatable | 
trade_equipment_size | - Size *X x *Y | 
trade_estimatedvalue | ESTIMATED VALUE: | 
trade_neworder | NEW ORDER | 
trade_nextcollection | NEXT SHUTTLE IN *Xs | 
trade_ourstock | You have *X on-board | 
trade_overlay_boxed | [boxed] | 
trade_overlay_price | PRICE | 
trade_overlay_them | THEM | 
trade_overlay_you | YOU | 
trade_profit | Profit | 
trade_remove | REMOVE | 
trade_sack | SACK | 
trade_sacking | Sacking *X | 
trade_sell | SELL | 
trade_sell_ship | SELL SHIP | 
trade_selling | Selling *X | 
trade_showoutofstock | Show out of stock | 
trade_shuttleinbound | SHUTTLE INBOUND | 
trade_stack | Stack of *X | 
trade_title | TRADE | 
trade_tooltip_add | [LMB] Add | 
trade_tooltip_buy | [LMB] Buy | 
trade_tooltip_cancel | [RMB] Cancel | 
trade_tooltip_cancelalltrade | [RMB] Cancel All | 
trade_tooltip_canceltrade | [LMB] Cancel | 
trade_tooltip_clear | [RMB] Clear | 
trade_tooltip_control | [CTRL] All | 
trade_tooltip_disableorder | [CTRL + RMB] Disable | 
trade_tooltip_remove | [RMB] Remove | 
trade_tooltip_remove_rmb | [RMB] Remove | 
trade_tooltip_reset | [RMB] Reset | 
trade_tooltip_sack | [LMB] Sack | 
trade_tooltip_sell | [LMB] Sell | 
trade_tooltip_shift | [SHIFT] x5 | 
trade_transaction | *X: *Y | 
trade_waitingfor | Waiting for *X x *Y | 
trade_window_Components | Components | 
trade_window_Crew | Crew | 
trade_window_Defense | Defense | 
trade_window_Energy | Energy | 
trade_window_Habitation | Habitation | 
trade_window_Industry | Industry | 
trade_window_Logistics | Logistics | 
trade_window_Propulsion | Propulsion | 
trade_window_Resources | Resources | 
trade_window_Science | Science | 
