galaxymap_civilians | CIVILIANS | 
galaxymap_colony | COLONY | 
galaxymap_comet | COMET | 
galaxymap_demo | DEMO | 
galaxymap_derelict | DERELICT | 
galaxymap_distresscall | DISTRESS CALL | 
galaxymap_endof | END OF | 
galaxymap_entrysystem | Arrival | 
galaxymap_exitsystem | To Next Sector | 
galaxymap_fleet | YOU ARE HERE | 
galaxymap_fortress | FORTRESS | 
galaxymap_hostile | HOSTILES | 
galaxymap_jumpgate | JUMPGATE | 
galaxymap_noescape | NO ESCAPE | 
galaxymap_objectives | SECTOR CONTRACTS | 
galaxymap_playtest | PLAYTEST | 
galaxymap_sectorgone | LOST TO THE ANOMALY | 
galaxymap_sectornumber | SECTOR *X | 
galaxymap_shipyard | SHIPYARD | 
galaxymap_starbase | STARBASE | 
galaxymap_survivalexit | Reach the STARGATE! | 
galaxymap_switchsector | Switch Sector View | 
galaxymap_title | SECTOR MAP | 
galaxymap_unreachable | UNREACHABLE | 
